User,Accuracy,Algorithm,StateAccuracy,GranularPredictions,Predictions,GroundTruth,Threshold,Openended,Task,LearningRate,Discount,Reward,Temperature,Epsilon
stu14_bcf_p1,0.8333333333333334,QLearn,0,,,,0.8,Focused,p1,0.5,0.2,1.076923076923077,0.0,0.05
stu19_bde_p1,0.8,QLearn,0,,,,0.8,Focused,p1,0.001,0.1,1.0909090909090906,0.0,0.05
stu20_bdf_p1,0.75,QLearn,0,,,,0.8,Focused,p1,0.0001,0.5,1.1111111111111112,0.0,0.1
pro7_bde_p1,0.7272727272727273,QLearn,0,,,,0.8,Focused,p1,0.01,0.1,1.0434782608695652,0.0,0.1
stu18_bde_p1,0.6666666666666666,QLearn,0,,,,0.8,Focused,p1,0.5,0.2,1.0526315789473684,0.0,0.1
stu12_bdf_p1,0.4615384615384615,QLearn,0,,,,0.8,Focused,p1,0.001,0.1,1.037037037037037,0.0,0.1
stu28_bde_p1,1.0,QLearn,0,,,,0.8,Focused,p1,0.01,0.8,1.090909090909091,0.0,0.5
stu32_bce_p1,0.2857142857142857,QLearn,0,,,,0.8,Focused,p1,0.0001,0.9,1.0666666666666669,0.0,0.1
stu27_bdf_p1,0.9,QLearn,0,,,,0.8,Focused,p1,0.5,0.2,1.0476190476190474,0.0,0.05
stu23_bdf_p1,0.5,QLearn,0,,,,0.8,Focused,p1,0.1,0.1,1.0399999999999998,0.0,0.1
pro2_bce_p1,0.6206896551724138,QLearn,0,,,,0.8,Focused,p1,0.0001,0.2,1.016949152542373,0.0,0.05
stu22_bde_p1,0.6923076923076923,QLearn,0,,,,0.8,Focused,p1,0.0001,0.99,1.037037037037037,0.0,0.1
stu8_bce_p1,1.0,QLearn,0,,,,0.8,Focused,p1,0.001,0.1,1.2000000000000002,0.0,0.1
stu9_bcf_p1,0.6666666666666666,QLearn,0,,,,0.8,Focused,p1,0.001,0.05,1.1428571428571428,0.0,0.7
stu1_bce_p1,0.5833333333333334,QLearn,0,,,,0.8,Focused,p1,0.5,0.1,1.020408163265306,0.0,0.1
stu40_bdf_p1,0.875,QLearn,0,,,,0.8,Focused,p1,0.5,0.1,1.0588235294117647,0.0,0.05
stu2_bce_p1,0.7777777777777778,QLearn,0,,,,0.8,Focused,p1,0.5,0.05,1.027027027027027,0.0,0.05
stu33_bce_p1,0.9,QLearn,0,,,,0.8,Focused,p1,1.0,0.8,1.024390243902439,0.0,0.1
stu5_bcf_p1,0.6923076923076923,QLearn,0,,,,0.8,Focused,p1,0.0001,0.5,1.037037037037037,0.0,0.05
stu16_bcf_p1,0.5714285714285714,QLearn,0,,,,0.8,Focused,p1,0.001,0.1,1.0140845070422533,0.0,0.1
stu34_bcf_p1,0.7619047619047619,QLearn,0,,,,0.8,Focused,p1,0.1,0.05,1.0232558139534882,0.0,0.05
stu35_bde_p1,0.631578947368421,QLearn,0,,,,0.8,Focused,p1,0.0001,0.05,1.0256410256410255,0.0,0.05
pro10_bdf_p1,0.2,Random,0,,,,0.8,Focused,p1,,,,,
pro11_bcf_p1,0.2111111111111111,Random,0,,,,0.8,Focused,p1,,,,,
pro12_bdf_p1,0.24,Random,0,,,,0.8,Focused,p1,,,,,
pro14_bdf_p1,0.175,Random,0,,,,0.8,Focused,p1,,,,,
pro16_bce_p1,0.3,Random,0,,,,0.8,Focused,p1,,,,,
pro19_bcf_p1,0.2461538461538461,Random,0,,,,0.8,Focused,p1,,,,,
pro1_bcf_p1,0.1999999999999999,Random,0,,,,0.8,Focused,p1,,,,,
pro26_bde_p1,0.2181818181818181,Random,0,,,,0.8,Focused,p1,,,,,
pro27_bcf_p1,0.2956521739130435,Random,0,,,,0.8,Focused,p1,,,,,
pro28_bce_p1,0.3142857142857142,Random,0,,,,0.8,Focused,p1,,,,,
pro2_bce_p1,0.2551724137931034,Random,0,,,,0.8,Focused,p1,,,,,
pro30_bde_p1,0.2285714285714285,Random,0,,,,0.8,Focused,p1,,,,,
pro32_bdf_p1,0.15,Random,0,,,,0.8,Focused,p1,,,,,
pro4_bce_p1,0.4285714285714285,Random,0,,,,0.8,Focused,p1,,,,,
pro6_bde_p1,0.25,Random,0,,,,0.8,Focused,p1,,,,,
pro7_bde_p1,0.2363636363636364,Random,0,,,,0.8,Focused,p1,,,,,
stu12_bdf_p1,0.2923076923076923,Random,0,,,,0.8,Focused,p1,,,,,
stu14_bcf_p1,0.3,Random,0,,,,0.8,Focused,p1,,,,,
stu16_bcf_p1,0.2685714285714285,Random,0,,,,0.8,Focused,p1,,,,,
stu18_bde_p1,0.2222222222222222,Random,0,,,,0.8,Focused,p1,,,,,
stu19_bde_p1,0.16,Random,0,,,,0.8,Focused,p1,,,,,
stu1_bce_p1,0.2416666666666666,Random,0,,,,0.8,Focused,p1,,,,,
stu20_bdf_p1,0.35,Random,0,,,,0.8,Focused,p1,,,,,
stu22_bde_p1,0.1384615384615384,Random,0,,,,0.8,Focused,p1,,,,,
stu23_bdf_p1,0.2,Random,0,,,,0.8,Focused,p1,,,,,
stu27_bdf_p1,0.4,Random,0,,,,0.8,Focused,p1,,,,,
stu28_bde_p1,0.2799999999999999,Random,0,,,,0.8,Focused,p1,,,,,
stu2_bce_p1,0.1777777777777777,Random,0,,,,0.8,Focused,p1,,,,,
stu32_bce_p1,0.2857142857142857,Random,0,,,,0.8,Focused,p1,,,,,
stu33_bce_p1,0.3099999999999999,Random,0,,,,0.8,Focused,p1,,,,,
stu34_bcf_p1,0.3238095238095238,Random,0,,,,0.8,Focused,p1,,,,,
stu35_bde_p1,0.2105263157894736,Random,0,,,,0.8,Focused,p1,,,,,
stu40_bdf_p1,0.175,Random,0,,,,0.8,Focused,p1,,,,,
stu5_bcf_p1,0.1846153846153846,Random,0,,,,0.8,Focused,p1,,,,,
stu8_bce_p1,0.2,Random,0,,,,0.8,Focused,p1,,,,,
stu9_bcf_p1,0.2666666666666666,Random,0,,,,0.8,Focused,p1,,,,,
pro16_bce_p1,1.0,Reinforce,"[None, None, None]",,,,0.8,Focused,p1,0.01,0.8,0.0,,
pro10_bdf_p1,1.0,Reinforce,"[None, None, None]",,,,0.8,Focused,p1,0.01,0.8,0.0,,
pro28_bce_p1,0.4285714285714285,Reinforce,"[None, None, None]",,,,0.8,Focused,p1,0.01,0.05,0.0,,
pro1_bcf_p1,0.1666666666666666,Reinforce,"[None, None, None]",,,,0.8,Focused,p1,0.1,0.1,0.0,,
pro14_bdf_p1,0.75,Reinforce,"[None, None, None]",,,,0.8,Focused,p1,0.01,0.1,0.0,,
pro32_bdf_p1,0.5,Reinforce,"[None, None, None]",,,,0.8,Focused,p1,0.01,0.05,0.0,,
pro26_bde_p1,0.7272727272727273,Reinforce,"[None, None, None]",,,,0.8,Focused,p1,0.1,0.05,0.0,,
pro6_bde_p1,1.0,Reinforce,"[None, None, None]",,,,0.8,Focused,p1,0.01,0.05,0.0,,
pro30_bde_p1,0.7142857142857143,Reinforce,"[None, None, None]",,,,0.8,Focused,p1,0.01,0.05,0.0,,
pro19_bcf_p1,0.3846153846153846,Reinforce,"[None, None, None]",,,,0.8,Focused,p1,0.01,0.5,0.0,,
pro4_bce_p1,1.0,Reinforce,"[None, None, None]",,,,0.8,Focused,p1,0.5,0.1,0.0,,
pro12_bdf_p1,0.6,Reinforce,"[None, None, None]",,,,0.8,Focused,p1,0.01,0.1,0.0,,
stu14_bcf_p1,0.8333333333333334,Reinforce,"[None, None, None]",,,,0.8,Focused,p1,0.01,0.99,0.0,,
stu19_bde_p1,0.8,Reinforce,"[None, None, None]",,,,0.8,Focused,p1,0.01,0.1,0.0,,
pro11_bcf_p1,0.8333333333333334,Reinforce,"[None, None, None]",,,,0.8,Focused,p1,0.01,0.05,0.0,,
stu18_bde_p1,0.7777777777777778,Reinforce,"[None, None, None]",,,,0.8,Focused,p1,0.01,0.1,0.0,,
pro7_bde_p1,0.7272727272727273,Reinforce,"[None, None, None]",,,,0.8,Focused,p1,0.01,0.05,0.0,,
stu20_bdf_p1,0.75,Reinforce,"[None, None, None]",,,,0.8,Focused,p1,0.01,0.1,0.0,,
pro27_bcf_p1,0.9130434782608696,Reinforce,"[None, None, None]",,,,0.8,Focused,p1,0.01,0.05,0.0,,
stu12_bdf_p1,0.4615384615384615,Reinforce,"[None, None, None]",,,,0.8,Focused,p1,0.01,0.1,0.0,,
stu28_bde_p1,0.6,Reinforce,"[None, None, None]",,,,0.8,Focused,p1,0.01,0.1,0.0,,
stu32_bce_p1,0.7142857142857143,Reinforce,"[None, None, None]",,,,0.8,Focused,p1,0.01,0.05,0.0,,
stu23_bdf_p1,0.5833333333333334,Reinforce,"[None, None, None]",,,,0.8,Focused,p1,0.001,0.1,0.0,,
stu22_bde_p1,0.8461538461538461,Reinforce,"[None, None, None]",,,,0.8,Focused,p1,0.01,0.05,0.0,,
stu27_bdf_p1,0.8,Reinforce,"[None, None, None]",,,,0.8,Focused,p1,0.01,0.1,0.0,,
stu8_bce_p1,1.0,Reinforce,"[None, None, None]",,,,0.8,Focused,p1,0.01,0.05,0.0,,
pro2_bce_p1,0.5862068965517241,Reinforce,"[None, None, None]",,,,0.8,Focused,p1,0.01,0.2,0.0,,
stu9_bcf_p1,1.0,Reinforce,"[None, None, None]",,,,0.8,Focused,p1,0.001,0.99,0.0,,
stu1_bce_p1,0.6666666666666666,Reinforce,"[None, None, None]",,,,0.8,Focused,p1,0.01,0.05,0.0,,
stu40_bdf_p1,0.75,Reinforce,"[None, None, None]",,,,0.8,Focused,p1,0.01,0.1,0.0,,
stu2_bce_p1,0.1111111111111111,Reinforce,"[None, None, None]",,,,0.8,Focused,p1,0.1,0.05,0.0,,
stu33_bce_p1,1.0,Reinforce,"[None, None, None]",,,,0.8,Focused,p1,0.1,0.2,0.0,,
stu5_bcf_p1,0.6153846153846154,Reinforce,"[None, None, None]",,,,0.8,Focused,p1,0.01,0.8,0.0,,
stu16_bcf_p1,0.6857142857142857,Reinforce,"[None, None, None]",,,,0.8,Focused,p1,0.01,0.2,0.0,,
stu34_bcf_p1,0.7142857142857143,Reinforce,"[None, None, None]",,,,0.8,Focused,p1,0.01,0.05,0.0,,
stu35_bde_p1,0.631578947368421,Reinforce,"[None, None, None]",,,,0.8,Focused,p1,0.01,0.1,0.0,,
pro10_bdf_p1,1.0,SARSA,0,,,,0.8,Focused,p1,0.0001,0.1,1.0,0.0,0.01
pro16_bce_p1,1.0,SARSA,0,,,,0.8,Focused,p1,0.0001,0.99,1.0,0.0,0.1
pro1_bcf_p1,0.6666666666666666,SARSA,0,,,,0.8,Focused,p1,0.5,0.9,1.0,0.0,0.5
pro28_bce_p1,0.5714285714285714,SARSA,0,,,,0.8,Focused,p1,0.5,0.2,1.0,0.0,0.1
pro14_bdf_p1,0.875,SARSA,0,,,,0.8,Focused,p1,0.5,0.5,1.0,0.0,0.1
pro26_bde_p1,0.7272727272727273,SARSA,0,,,,0.8,Focused,p1,0.001,0.2,1.0,0.0,0.1
pro19_bcf_p1,0.4615384615384615,SARSA,0,,,,0.8,Focused,p1,0.0001,0.2,1.0,0.0,0.1
pro32_bdf_p1,0.75,SARSA,0,,,,0.8,Focused,p1,0.001,0.05,1.0,0.0,0.1
pro12_bdf_p1,0.6,SARSA,0,,,,0.8,Focused,p1,0.001,0.99,1.0,0.0,0.1
pro30_bde_p1,0.7142857142857143,SARSA,0,,,,0.8,Focused,p1,0.0001,0.1,1.0,0.0,0.1
pro6_bde_p1,1.0,SARSA,0,,,,0.8,Focused,p1,0.0001,0.1,1.0,0.0,0.1
pro4_bce_p1,1.0,SARSA,0,,,,0.8,Focused,p1,0.0001,0.9,1.0,0.0,0.05
pro11_bcf_p1,0.7777777777777778,SARSA,0,,,,0.8,Focused,p1,0.1,0.5,1.0,0.0,0.1
pro27_bcf_p1,0.9130434782608696,SARSA,0,,,,0.8,Focused,p1,0.1,0.99,1.0,0.0,0.05
stu14_bcf_p1,0.8333333333333334,SARSA,0,,,,0.8,Focused,p1,0.0001,0.8,1.0,0.0,0.1
stu19_bde_p1,0.8,SARSA,0,,,,0.8,Focused,p1,0.0001,0.1,1.0,0.0,0.05
stu20_bdf_p1,0.5,SARSA,0,,,,0.8,Focused,p1,0.1,0.8,1.0,0.0,0.5
pro7_bde_p1,0.7272727272727273,SARSA,0,,,,0.8,Focused,p1,0.1,0.1,1.0,0.0,0.1
stu18_bde_p1,0.6666666666666666,SARSA,0,,,,0.8,Focused,p1,0.001,0.9,1.0,0.0,0.5
stu12_bdf_p1,0.4615384615384615,SARSA,0,,,,0.8,Focused,p1,0.5,0.9,1.0,0.0,0.05
stu28_bde_p1,0.8,SARSA,0,,,,0.8,Focused,p1,0.001,0.1,1.0,0.0,0.05
pro2_bce_p1,0.6896551724137931,SARSA,0,,,,0.8,Focused,p1,0.0001,0.5,1.0,0.0,0.1
stu32_bce_p1,0.4285714285714285,SARSA,0,,,,0.8,Focused,p1,0.001,0.99,1.0,0.0,0.5
stu27_bdf_p1,0.8,SARSA,0,,,,0.8,Focused,p1,0.001,0.1,1.0,0.0,0.1
stu23_bdf_p1,0.5,SARSA,0,,,,0.8,Focused,p1,0.5,0.5,1.0,0.0,0.05
stu22_bde_p1,0.7692307692307693,SARSA,0,,,,0.8,Focused,p1,0.5,0.1,1.0,0.0,0.05
stu8_bce_p1,1.0,SARSA,0,,,,0.8,Focused,p1,0.0001,0.9,1.0,0.0,0.05
stu1_bce_p1,0.7083333333333334,SARSA,0,,,,0.8,Focused,p1,0.5,0.2,1.0,0.0,0.05
stu9_bcf_p1,1.0,SARSA,0,,,,0.8,Focused,p1,0.5,0.1,1.0,0.0,0.05
stu2_bce_p1,0.7222222222222222,SARSA,0,,,,0.8,Focused,p1,0.5,0.1,1.0,0.0,0.05
stu40_bdf_p1,0.875,SARSA,0,,,,0.8,Focused,p1,0.001,0.8,1.0,0.0,0.1
stu33_bce_p1,1.0,SARSA,0,,,,0.8,Focused,p1,0.5,0.8,1.0,0.0,0.05
stu16_bcf_p1,0.6,SARSA,0,,,,0.8,Focused,p1,0.1,0.05,1.0,0.0,0.05
stu5_bcf_p1,0.6923076923076923,SARSA,0,,,,0.8,Focused,p1,0.0001,0.5,1.0,0.0,0.1
stu34_bcf_p1,0.7142857142857143,SARSA,0,,,,0.8,Focused,p1,0.01,0.2,1.0,0.0,0.1
stu35_bde_p1,0.631578947368421,SARSA,0,,,,0.8,Focused,p1,0.0001,0.99,1.0,0.0,0.05
pro10_bdf_p1,0.5,WSLS,"[None, None, None]",,,,0.8,Focused,p1,0.0,0.0,,,
pro11_bcf_p1,0.3888888888888889,WSLS,"[None, None, None]",,,,0.8,Focused,p1,0.0,0.0,,,
pro12_bdf_p1,0.2666666666666666,WSLS,"[None, None, None]",,,,0.8,Focused,p1,0.0,0.0,,,
pro14_bdf_p1,0.375,WSLS,"[None, None, None]",,,,0.8,Focused,p1,0.0,0.0,,,
pro16_bce_p1,0.0,WSLS,"[None, None, None]",,,,0.8,Focused,p1,0.0,0.0,,,
pro19_bcf_p1,0.2307692307692307,WSLS,"[None, None, None]",,,,0.8,Focused,p1,0.0,0.0,,,
pro1_bcf_p1,0.1666666666666666,WSLS,"[None, None, None]",,,,0.8,Focused,p1,0.0,0.0,,,
pro26_bde_p1,0.2727272727272727,WSLS,"[None, None, None]",,,,0.8,Focused,p1,0.0,0.0,,,
pro27_bcf_p1,0.2608695652173913,WSLS,"[None, None, None]",,,,0.8,Focused,p1,0.0,0.0,,,
pro28_bce_p1,0.2857142857142857,WSLS,"[None, None, None]",,,,0.8,Focused,p1,0.0,0.0,,,
pro2_bce_p1,0.3448275862068966,WSLS,"[None, None, None]",,,,0.8,Focused,p1,0.0,0.0,,,
pro30_bde_p1,0.1428571428571428,WSLS,"[None, None, None]",,,,0.8,Focused,p1,0.0,0.0,,,
pro32_bdf_p1,0.25,WSLS,"[None, None, None]",,,,0.8,Focused,p1,0.0,0.0,,,
pro4_bce_p1,0.4285714285714285,WSLS,"[None, None, None]",,,,0.8,Focused,p1,0.0,0.0,,,
pro6_bde_p1,0.5,WSLS,"[None, None, None]",,,,0.8,Focused,p1,0.0,0.0,,,
pro7_bde_p1,0.1818181818181818,WSLS,"[None, None, None]",,,,0.8,Focused,p1,0.0,0.0,,,
stu12_bdf_p1,0.2307692307692307,WSLS,"[None, None, None]",,,,0.8,Focused,p1,0.0,0.0,,,
stu14_bcf_p1,0.3333333333333333,WSLS,"[None, None, None]",,,,0.8,Focused,p1,0.0,0.0,,,
stu16_bcf_p1,0.2571428571428571,WSLS,"[None, None, None]",,,,0.8,Focused,p1,0.0,0.0,,,
stu18_bde_p1,0.3333333333333333,WSLS,"[None, None, None]",,,,0.8,Focused,p1,0.0,0.0,,,
stu19_bde_p1,0.0,WSLS,"[None, None, None]",,,,0.8,Focused,p1,0.0,0.0,,,
stu1_bce_p1,0.3333333333333333,WSLS,"[None, None, None]",,,,0.8,Focused,p1,0.0,0.0,,,
stu20_bdf_p1,0.5,WSLS,"[None, None, None]",,,,0.8,Focused,p1,0.0,0.0,,,
stu22_bde_p1,0.3846153846153846,WSLS,"[None, None, None]",,,,0.8,Focused,p1,0.0,0.0,,,
stu23_bdf_p1,0.0833333333333333,WSLS,"[None, None, None]",,,,0.8,Focused,p1,0.0,0.0,,,
stu27_bdf_p1,0.2,WSLS,"[None, None, None]",,,,0.8,Focused,p1,0.0,0.0,,,
stu28_bde_p1,0.2,WSLS,"[None, None, None]",,,,0.8,Focused,p1,0.0,0.0,,,
stu2_bce_p1,0.2777777777777778,WSLS,"[None, None, None]",,,,0.8,Focused,p1,0.0,0.0,,,
stu32_bce_p1,0.2857142857142857,WSLS,"[None, None, None]",,,,0.8,Focused,p1,0.0,0.0,,,
stu33_bce_p1,0.35,WSLS,"[None, None, None]",,,,0.8,Focused,p1,0.0,0.0,,,
stu34_bcf_p1,0.4285714285714285,WSLS,"[None, None, None]",,,,0.8,Focused,p1,0.0,0.0,,,
stu35_bde_p1,0.2105263157894736,WSLS,"[None, None, None]",,,,0.8,Focused,p1,0.0,0.0,,,
stu40_bdf_p1,0.25,WSLS,"[None, None, None]",,,,0.8,Focused,p1,0.0,0.0,,,
stu5_bcf_p1,0.0769230769230769,WSLS,"[None, None, None]",,,,0.8,Focused,p1,0.0,0.0,,,
stu8_bce_p1,0.5,WSLS,"[None, None, None]",,,,0.8,Focused,p1,0.0,0.0,,,
stu9_bcf_p1,0.6666666666666666,WSLS,"[None, None, None]",,,,0.8,Focused,p1,0.0,0.0,,,
